what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336942236307
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336942236557
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336942253792
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336942259539
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336942261177
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336942276527
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336942294327
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336942348802
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1336942476052
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336942482136
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336942497892
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336942498516
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336942498797
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336942516002
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336942517173
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1336942593520
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336942595595
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336942616592
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336942627138
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1336942707572
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1336942707962
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336942717930
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336942718351
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336942718648
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336942726737
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336942764693
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336942770888
